Position,Track Name,Artist,Streams,date,region,spotify_id
178,"Castro (feat. Kanye West, Big Sean, Quavo & 2 Chainz)",Yo Gotti,1070989,2017-01-06--2017-01-13,us,0rHJxNaQRMGK6Y4TUx3xRO
179,The A Team,Ed Sheeran,1070804,2017-01-06--2017-01-13,us,1VdZ0vKfR5jneCmWIUAMxK
180,There He Go,Kodak Black,1069705,2017-01-06--2017-01-13,us,6canmpFnLHVUzvVWAodifz
181,Sorry,Justin Bieber,1068496,2017-01-06--2017-01-13,us,69bp2EbF7Q2rqc5N3ylezZ
182,Taped up Heart (feat. Clara Mae),KREAM,1067051,2017-01-06--2017-01-13,us,26hcyzSE154xMZCbFdtInA
183,All I Know,The Weeknd,1065621,2017-01-06--2017-01-13,us,0NWqNXBJTpXbkI5rPWNy3p
184,Wet Dreamz,J. Cole,1061868,2017-01-06--2017-01-13,us,6Ius4TC0L3cN74HT7ENE6e
185,False Alarm,The Weeknd,1051491,2017-01-06--2017-01-13,us,32lgtADX2cB9I4KFs1Y1py
186,Attention,The Weeknd,1049853,2017-01-06--2017-01-13,us,6pDVjCUA3B1vg9waKutAsv
187,Juke Jam (feat. Justin Bieber & Towkio),Chance the Rapper,1040777,2017-01-06--2017-01-13,us,3eze1OsZ1rqeXkKStNfTmi
188,Let It Go,James Bay,1037917,2017-01-06--2017-01-13,us,13HVjjWUZFaWilh2QUJKsP
189,Skateboard P,MadeinTYO,1030334,2017-01-06--2017-01-13,us,4qdgv45EPcQqpQ08tF34f8
190,beibs in the trap,Travis Scott,1026265,2017-01-06--2017-01-13,us,0ESJlaM8CE1jRWaNtwSNj8
191,Unsteady,X Ambassadors,1020526,2017-01-06--2017-01-13,us,7lGKEWMXVWWTt3X71Bv44I
192,Baptized In Fire,Kid Cudi,1019419,2017-01-06--2017-01-13,us,6WSBZroxQaO3FYEpT2ACFH
193,PILLOWTALK,ZAYN,1017501,2017-01-06--2017-01-13,us,0PDUDa38GO8lMxLCRc4lL1
194,Really Really,Kevin Gates,1017149,2017-01-06--2017-01-13,us,10I3CmmwT0BkOVhduDy53o
195,Cash Machine,Shelley FKA DRAM,1011085,2017-01-06--2017-01-13,us,6GG2tkV9PRYGN5rniXPFXZ
196,Rap God,Eminem,1011033,2017-01-06--2017-01-13,us,6sDQ4uiWw9OdVrCXFLSlZt
197,Versace on the Floor,Bruno Mars,1007761,2017-01-06--2017-01-13,us,0kN8xEmgMW9mh7UmDYHlJP
198,everybody dies,J. Cole,1001081,2017-01-06--2017-01-13,us,1wIQtB3UQ1TfjNMZZqO6eh
199,Miss You,James Hersey,998378,2017-01-06--2017-01-13,us,7of1slAJIWrXxP8ikAHxje
200,Death of a Bachelor,Panic! At The Disco,995035,2017-01-06--2017-01-13,us,1BECwm5qkaBwlbfo4kpYx8
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,10639198,2017-01-13--2017-01-20,us,4Km5HrUvYTaSUfiSGPJeQR
2,Shape of You,Ed Sheeran,10010914,2017-01-13--2017-01-20,us,7qiZfU4dY1lWllzX7mPBI3
3,Fake Love,Drake,8954829,2017-01-13--2017-01-20,us,343YBumqHu19cGoGARUTsd
4,Paris,The Chainsmokers,8600493,2017-01-13--2017-01-20,us,72jbDTw1piOOj770jWNeaG
5,Starboy,The Weeknd,7302600,2017-01-13--2017-01-20,us,5aAx2yezTd8zXrkmtKl66Z
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,6754628,2017-01-13--2017-01-20,us,3NdDpSvN911VPGivFlV5d0
7,Bounce Back,Big Sean,5931952,2017-01-13--2017-01-20,us,0SGkqnVQo9KPytSri1H6cF
8,Caroline,Aminé,5469181,2017-01-13--2017-01-20,us,5GFDrUTLGJix84sNhjCG0g
9,Bad Things (with Camila Cabello),Machine Gun Kelly,5420165,2017-01-13--2017-01-20,us,1PSBzsahR2AKwLJgx8ehBj
10,Black Beatles,Rae Sremmurd,5105224,2017-01-13--2017-01-20,us,6fujklziTHa8uoM5OQSfIo
11,Closer,The Chainsmokers,5069472,2017-01-13--2017-01-20,us,7BKLCZ1jbUBVqRi2FVlTVw
12,I Feel It Coming,The Weeknd,5053743,2017-01-13--2017-01-20,us,5GXAXm5YOmYT0kL5jHvYBt
13,Castle on the Hill,Ed Sheeran,4958114,2017-01-13--2017-01-20,us,6PCUP3dWmTjcTtXY02oFdT
14,iSpy (feat. Lil Yachty),KYLE,4836438,2017-01-13--2017-01-20,us,2EEeOnHehOozLq4aS0n6SL
15,Broccoli (feat. Lil Yachty),Shelley FKA DRAM,4146262,2017-01-13--2017-01-20,us,7yyRTcZmCiyzzJlNzGC9Ol
16,Say You Won't Let Go,James Arthur,4128673,2017-01-13--2017-01-20,us,5uCax9HTNlzGybIStD3vDh
17,Don't Wanna Know,Maroon 5,3961023,2017-01-13--2017-01-20,us,5MFzQMkrl1FOOng9tq6R9r
18,X (feat. Future),21 Savage,3818796,2017-01-13--2017-01-20,us,6fwdbPMwP1zVStm8FybmkO
19,All Time Low,Jon Bellion,3655590,2017-01-13--2017-01-20,us,1CnPYaKxTVb4LWOtiGOm0m
20,"How Far I'll Go - From ""Moana""",Alessia Cara,3620525,2017-01-13--2017-01-20,us,5hYTyyh2odQKphUbMqc5gN
21,Deja Vu,J. Cole,3613240,2017-01-13--2017-01-20,us,6I6NX6tjGsxFAsIfGzY9lJ
22,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,3605068,2017-01-13--2017-01-20,us,5uDASfU19gDxSjW8cnCaBp
23,No Heart,21 Savage,3554550,2017-01-13--2017-01-20,us,4gmmRb6bZJffOOiww1JGTO
24,24K Magic,Bruno Mars,3513093,2017-01-13--2017-01-20,us,6b8Be6ljOzmkOmFslEb23P
25,Party Monster,The Weeknd,3444918,2017-01-13--2017-01-20,us,4F7A0DXBrmUAkp32uenhZt
26,Call On Me - Ryan Riback Extended Remix,Starley,3279543,2017-01-13--2017-01-20,us,78rIJddV4X0HkNAInEcYde
27,One Dance,Drake,3154500,2017-01-13--2017-01-20,us,1xznGGDReH1oQq0xzbwXa3
